hhId,title,company,city,salaryMin,salaryMax,publishedDate,url
121356771,Junior+ Java-разработчик,Tech Horizon,Москва,120000,,,
121357289,Junior+ Java-разработчик,Tech Horizon,Санкт-Петербург,110000,,,
121453500,Разработчик backend (Java),Changellenge,Нижний Новгород,,,,
121030471,Java/Kotlin Developer,Домклик,Екатеринбург,,,,
121519290,Junior Server Developer (Java/Kotlin),Azur Games,Москва,,100000,,
120428148,Junior Java Developer,Динамика,Новосибирск,65000,110000,,
110748312,Junior Java-разработчик,Gridnine,Москва,,,,
121350279,Junior Fullstack Developer,Синтека,Санкт-Петербург,100000,,,
118915123,Java/Kotlin Developer,Домклик,Москва,,,,
121455738,Java разработчик,Offer Now,Санкт-Петербург,,,,
121453850,Разработчик backend (Java) / Стажер,Changellenge,Новосибирск,,,,
120569378,Java разработчик с нуля (стажер),Aston,Москва,70000,80000,,
121348889,Java developer,АЛЬФА-БАНК,Минск,,,,
121500696,Strong Junior Java Developer,Государственная корпорация Правительство для Граждан,Астана,400000,,,
121001119,Java-разработчик (Middle/Senior),Software Cats,Новосибирск,,280000,,
121360182,Senior Java developer,Динамика,Новосибирск,300000,400000,,
121478712,Middle Java Developer,InnoForce Group,Алматы,,,,
121458942,Java-разработчик,КИБЕР Холдинг,Москва,,,,
120202578,Начинающий Java разработчик,ЗАЗЕКС,Ростов-на-Дону,,,,
120795715,Java-разработчик,Eclipse Digital,Санкт-Петербург,200000,290000,,
